train,val,test
Case29,Case182,Case214
Case106,Case45,Case104
Case186,Case52,Case154
Case191,Case129,Case67
Case8,Case120,Case39
Case110,Case115,Case48
Case141,Case210,Case78
Case105,Case64,Case24
Case174,Case31,Case73
Case38,Case55,Case139
Case199,Case30,Case79
Case118,Case180,Case198
Case107,Case156,Case10
Case158,Case112,Case2
Case41,Case14,Case103
Case122,Case123,Case197
Case35,Case68,Case88
Case102,Case69,Case80
Case7,Case92,Case203
Case84,Case152,Case133
Case212,Case13,Case177
Case98,Case100,Case169
Case144,Case12,
Case142,Case54,
Case111,Case59,
Case160,Case149,
Case116,Case58,
Case33,Case170,
Case168,Case155,
Case9,Case22,
Case166,,
Case6,,
Case138,,
Case171,,
Case132,,
Case175,,
Case204,,
Case159,,
Case137,,
Case161,,
Case163,,
Case27,,
Case46,,
Case93,,
Case85,,
Case205,,
Case53,,
Case17,,
Case194,,
Case25,,
Case172,,
Case140,,
Case128,,
Case109,,
Case87,,
Case75,,
Case40,,
Case101,,
Case134,,
Case165,,
Case77,,
Case83,,
Case89,,
Case143,,
Case200,,
Case97,,
Case32,,
Case56,,
Case91,,
Case179,,
Case153,,
Case184,,
Case121,,
Case176,,
Case208,,
Case34,,
Case164,,
Case213,,
Case190,,
Case108,,
Case19,,
Case18,,
Case193,,
Case146,,
Case57,,
Case16,,
Case150,,
Case136,,
Case37,,
Case178,,
Case81,,
Case148,,
Case90,,
Case173,,
Case127,,
Case71,,
Case113,,
Case167,,
Case43,,
Case145,,
Case82,,
Case162,,
Case61,,
Case62,,
Case20,,
Case5,,
Case187,,
Case72,,
Case36,,
Case215,,
Case188,,
Case196,,
Case202,,
Case76,,
Case130,,
Case23,,
Case26,,
Case66,,
Case181,,
Case185,,
